,product,price,quantity,date,region,products
0,pink morsel,$3.00,526,2020-10-13,north,pink morsel
1,pink morsel,$3.00,546,2020-10-13,south,pink morsel
2,pink morsel,$3.00,505,2020-10-13,east,pink morsel
3,pink morsel,$3.00,561,2020-10-13,west,pink morsel
28,pink morsel,$3.00,560,2020-10-14,north,pink morsel
29,pink morsel,$3.00,585,2020-10-14,south,pink morsel
30,pink morsel,$3.00,528,2020-10-14,east,pink morsel
31,pink morsel,$3.00,530,2020-10-14,west,pink morsel
56,pink morsel,$3.00,506,2020-10-15,north,pink morsel
57,pink morsel,$3.00,567,2020-10-15,south,pink morsel
58,pink morsel,$3.00,572,2020-10-15,east,pink morsel
59,pink morsel,$3.00,521,2020-10-15,west,pink morsel
84,pink morsel,$3.00,546,2020-10-16,north,pink morsel
85,pink morsel,$3.00,563,2020-10-16,south,pink morsel
86,pink morsel,$3.00,505,2020-10-16,east,pink morsel
87,pink morsel,$3.00,544,2020-10-16,west,pink morsel
112,pink morsel,$3.00,503,2020-10-17,north,pink morsel
113,pink morsel,$3.00,597,2020-10-17,south,pink morsel
114,pink morsel,$3.00,503,2020-10-17,east,pink morsel
115,pink morsel,$3.00,592,2020-10-17,west,pink morsel
140,pink morsel,$3.00,508,2020-10-18,north,pink morsel
141,pink morsel,$3.00,572,2020-10-18,south,pink morsel
142,pink morsel,$3.00,526,2020-10-18,east,pink morsel
143,pink morsel,$3.00,571,2020-10-18,west,pink morsel
168,pink morsel,$3.00,552,2020-10-19,north,pink morsel
169,pink morsel,$3.00,575,2020-10-19,south,pink morsel
170,pink morsel,$3.00,518,2020-10-19,east,pink morsel
171,pink morsel,$3.00,508,2020-10-19,west,pink morsel
196,pink morsel,$3.00,523,2020-10-20,north,pink morsel
197,pink morsel,$3.00,586,2020-10-20,south,pink morsel
198,pink morsel,$3.00,586,2020-10-20,east,pink morsel
199,pink morsel,$3.00,538,2020-10-20,west,pink morsel
224,pink morsel,$3.00,580,2020-10-21,north,pink morsel
225,pink morsel,$3.00,507,2020-10-21,south,pink morsel
226,pink morsel,$3.00,574,2020-10-21,east,pink morsel
227,pink morsel,$3.00,535,2020-10-21,west,pink morsel
252,pink morsel,$3.00,583,2020-10-22,north,pink morsel
253,pink morsel,$3.00,546,2020-10-22,south,pink morsel
254,pink morsel,$3.00,570,2020-10-22,east,pink morsel
255,pink morsel,$3.00,556,2020-10-22,west,pink morsel
280,pink morsel,$3.00,545,2020-10-23,north,pink morsel
281,pink morsel,$3.00,511,2020-10-23,south,pink morsel
282,pink morsel,$3.00,545,2020-10-23,east,pink morsel
283,pink morsel,$3.00,525,2020-10-23,west,pink morsel
308,pink morsel,$3.00,579,2020-10-24,north,pink morsel
309,pink morsel,$3.00,531,2020-10-24,south,pink morsel
310,pink morsel,$3.00,569,2020-10-24,east,pink morsel
311,pink morsel,$3.00,512,2020-10-24,west,pink morsel
336,pink morsel,$3.00,563,2020-10-25,north,pink morsel
337,pink morsel,$3.00,560,2020-10-25,south,pink morsel
338,pink morsel,$3.00,535,2020-10-25,east,pink morsel
339,pink morsel,$3.00,539,2020-10-25,west,pink morsel
364,pink morsel,$3.00,582,2020-10-26,north,pink morsel
